smiles,subpocket,bool_pains,bool_brenk,bool_ro3,bool_qed,qed,bool_bb,bool_syba,syba,retro_count,bool_retro
Nc1c[nH]c2ncccc12,AP,1,1,1,1,0.5658999712435825,1,1,30.950959060571517,0.0,0.0
N/C(=C1\C(=O)Nc2ccccc21)c1ccccc1,AP,1,0,1,1,0.7471848717059775,0,1,17.682658603401492,,
Cc1cc(N)[nH]n1,AP,1,1,1,0,0.4888544533381426,1,1,15.727014887215786,,
Nc1ncc(C=O)s1,AP,1,0,1,1,0.5613399498283871,1,1,12.789242122893825,,
COCC(=O)n1cc2[nH]nc(NC=O)c2c1,AP,1,0,0,1,0.7239606034824997,0,1,14.653939214959744,,
Cc1n[nH]c2cc(S)ccc12,AP,1,0,1,1,0.5738245456207135,0,1,10.945624679684984,,
O=C1NCCCc2cc[nH]c21,AP,1,1,1,1,0.5611998049940248,0,0,-6.74631599668948,,
Nc1nccc(O)n1,AP,1,1,0,0,0.4844747443041593,1,1,14.840208929754214,,
Nc1ncc2cn[nH]c2n1,AP,1,1,0,1,0.5296759293780585,1,1,13.019757117591373,,
CNc1ncnc2[nH]ccc12,AP,1,1,1,1,0.6339116859578915,0,1,38.38637143623604,,
Nc1nccn2cncc12,AP,1,1,1,1,0.5638030951061849,0,1,31.40952892308713,,
c1cnc2ccnn2c1,AP,1,1,1,1,0.511375604737478,1,1,39.62289811858867,154.0,1.0
Nc1cc(C2CC2)[nH]n1,AP,1,1,1,1,0.5817560283870127,1,1,18.524860679773997,76.0,1.0
Nc1ncnc2[nH]ccc12,AP,1,1,0,1,0.5521636672820287,1,1,29.032669286590448,,
Clc1c[nH]c2ncncc12,AP,1,1,1,1,0.6249517393225209,0,1,18.136368996744945,,
Cc1c[nH]c2ncncc12,AP,1,1,1,1,0.5875133881718076,1,1,18.45204921270899,66.0,1.0
CCc1c[nH]c2ncncc12,AP,1,1,1,1,0.6640159088638276,0,1,26.05660598649155,,
c1ncc2cc[nH]c2n1,AP,1,1,1,1,0.5607362152362961,1,1,30.638319580918225,68.0,1.0
C[C@@H]1SCc2ncncc21,AP,1,1,1,1,0.5664426923034389,0,0,-15.744872052582329,,
c1ccc2ncncc2c1,AP,1,1,1,1,0.5412819114011972,1,1,36.82228119064453,78.0,1.0
C[C@@H]1C[C@@H](O)c2ncncc21,AP,1,1,1,1,0.600137794996851,0,0,-19.770027220110773,,
C[C@@H]1CC(=O)Nc2ncncc21,AP,1,1,1,1,0.6183914419740608,0,0,-26.409043657750722,,
O=[SH](=O)c1cccc2cnccc12,AP,1,0,1,1,0.6922284333447187,1,1,1.88559604581769,,
Cc1n[nH]c2ccccc12,AP,1,1,1,1,0.5820392325335272,1,1,44.4808676464273,88.0,1.0
c1cn[nH]c1,AP,1,1,1,0,0.4683433019217652,1,1,7.0083773703581675,,
Nc1cnon1,AP,1,1,0,0,0.467341788077307,1,1,4.049549313424441,,
c1cnc2[nH]ccc2c1,AP,1,1,1,1,0.5583728365871126,1,1,43.274873959551456,108.0,1.0
Nc1ncc(Cl)c(N)n1,AP,1,1,0,1,0.5489392620766615,0,1,21.3182634370304,,
O=CNc1n[nH]c2c1CNC2,AP,1,0,0,1,0.5040008100754904,0,0,-17.13714378581204,,
Nc1ncccc1O,AP,1,1,1,1,0.5068633046996494,1,1,22.016494656421518,136.0,1.0
CCc1ccc2c(c1)C(=O)c1c([nH]c3cc(C#N)ccc13)C2(C)C,AP,1,1,0,1,0.7200651689938562,0,1,15.142372828120456,,
Nc1nccnc1O,AP,1,1,0,0,0.4844747443041593,1,1,10.29223715975717,,
Nc1ncccn1,AP,1,1,1,1,0.495312713243744,1,1,22.216635365925974,134.0,1.0
NC(=O)c1cccc([SH](=O)=O)c1,AP,1,0,0,1,0.6238677044143891,1,0,-9.54440564260099,,
NC(=O)c1ccccc1,AP,1,1,1,1,0.5859367170668044,1,1,37.153131146312816,38.0,1.0
Fc1ccccc1,AP,1,1,1,0,0.4618403302914614,1,1,26.89038789795228,,
Nc1ncc2c[nH]nc2n1,AP,1,1,0,1,0.5296759293780585,1,1,20.36441436973807,,
O=C/N=C1/N=Nc2ccccc21,AP,1,0,1,1,0.5749357490312621,0,0,-17.88712688885667,,
O=CNc1n[nH]c2ccccc12,AP,1,0,1,1,0.6484659759237619,0,1,28.70022325829968,,
O=CNc1ccn[nH]1,AP,1,0,1,1,0.5266484082045457,0,1,6.813264167155642,,
Cc1ccn[nH]1,AP,1,1,1,0,0.4904468907838007,1,1,14.828742203174741,,
COc1cc(-c2cccnc2N)cc(OC)c1OC,AP,1,1,0,1,0.9136257774468136,0,1,41.65979223027284,,
Nc1ccc2nccn2n1,AP,1,1,1,1,0.5638030951061849,0,1,42.20375806539091,,
COc1cc(-c2cccnc2)cc(OC)c1OC,AP,1,1,0,1,0.83008585938348,0,1,55.26453774831965,,
Cc1cccc2nc[nH]c(=O)c12,AP,1,1,1,1,0.6296228179680179,0,1,33.8410268029552,,
O=c1[nH]cnc2ccccc12,AP,1,1,1,1,0.6003509616659684,1,1,49.06194613610719,198.0,1.0
Cc1nc2cccc(C)c2c(=O)[nH]1,AP,1,1,1,1,0.6580586410337298,0,1,27.70760628202652,,
COc1cc(-c2cnccc2C)cc(OC)c1OC,AP,1,1,0,1,0.8456647836919536,0,1,41.803681848587686,,
COc1cccc(-c2cnccc2C)c1,AP,1,1,0,1,0.7411607300806361,0,1,45.6153088083221,,
O=CNc1n[nH]c2cn(C=O)cc12,AP,1,0,0,1,0.6474950196638858,0,0,-1.656303639988164,,
Nc1ccnc(N)n1,AP,1,1,0,0,0.4777611922776153,1,1,26.34741885629736,,
Nc1cn[nH]c1,AP,1,1,1,0,0.4632257080621317,1,1,12.244981556177025,,
O=CNc1cn[nH]c1,AP,1,0,1,1,0.5266484082045457,1,1,10.516748563411557,,
Brc1cnc2[nH]cnc2c1,AP,1,1,1,1,0.6995654942478055,1,1,31.234276541892424,0.0,0.0
Clc1cnc2cnccn12,AP,1,1,1,1,0.5726104908728296,0,1,33.86726009941444,,
O=CNc1n[nH]c2ccsc12,AP,1,0,1,1,0.6599358884582679,0,1,13.724062315425401,,
CNc1ncccn1,AP,1,1,1,1,0.5708700999474509,1,1,27.03854504190275,0.0,0.0
NC=O,AP,1,0,1,0,0.3523255130205272,1,0,-3.29609306080239,,
Nc1ncc(F)c(N)n1,AP,1,1,0,1,0.5059492074150636,0,1,19.093895612652858,,
Nc1ccc2ncccc2c1,AP,1,0,1,1,0.5725810426076291,1,1,48.3465987748211,,
Nc1ncnc2occc12,AP,1,1,0,1,0.5799503038107798,0,1,21.107540377517747,,
Nc1n[nH]c2ccccc12,AP,1,1,1,1,0.5658999712435826,1,1,31.70116676640892,114.0,1.0
Cc1cn2ccnc2cn1,AP,1,1,1,1,0.5370900072608146,0,1,35.856587603219474,,
c1cn2ccnc2cn1,AP,1,1,1,1,0.5113756047374779,1,1,39.334738764750384,190.0,1.0
Cc1cc(N)n[nH]1,AP,1,1,1,0,0.4888544533381426,1,1,17.627254462274625,,
Cc1c[n+]2c(cn1)[NH2+]C=C2c1cn[nH]c1,AP,1,0,0,1,0.6083890434317208,0,1,7.7859770700208175,,
Clc1cnc2[nH]cnc2c1,AP,1,1,1,1,0.6249517393225209,0,1,27.21715514133859,,
Nc1ncc2cc[nH]c2n1,AP,1,1,0,1,0.5521636672820287,1,1,30.228892595368663,,
Nc1cc[nH]n1,AP,1,1,1,0,0.4632257080621317,1,1,15.506510937849145,,
c1ncc2ccoc2n1,AP,1,1,1,1,0.524337023241302,1,1,20.915664626085988,0.0,0.0
NC(=O)c1n[nH]c2ccccc12,AP,1,1,0,1,0.6444934248268473,1,1,54.52749912628104,,
CCOC=O,AP,1,0,1,0,0.4365645501026904,1,0,-6.824448569140428,,
O=c1[nH]c2ccc(O)cc2[nH]1,AP,1,1,0,1,0.5132501883692772,0,1,28.45952179172353,,
Clc1cnc2nc[nH]c2c1,AP,1,1,1,1,0.6249517393225209,0,1,26.240222411330446,,
Nc1nc(N)n(C=O)n1,AP,1,0,0,0,0.44608491931550204,0,0,-2.4275150018049705,,
Nc1nccs1,AP,1,1,1,1,0.5215253330648401,1,1,16.953098337934858,38.0,1.0
Cc1ccc2c(c1)C(=O)N(C)c1cnc(N)nc1N2C,AP,1,1,0,1,0.7878518185359399,0,1,15.481806328491714,,
Cc1ccc2c(c1)OCO2,AP,1,1,1,1,0.5403108910158979,1,1,32.414211538116504,58.0,1.0
Nc1ncnc2[nH]ncc12,AP,1,1,0,1,0.5296759293780585,1,1,24.670672109038712,,
c1ccc2c(c1)OCO2,AP,1,1,1,1,0.5176682759164258,1,1,24.83848061700253,276.0,1.0
Oc1ccccc1,AP,1,1,1,1,0.5147295447686749,1,1,22.781258452418122,230.0,1.0
O=C1N=Cc2ccccc21,AP,1,1,1,1,0.5207856484780935,0,0,-13.530337258052791,,
c1ccc2n[nH]cc2c1,AP,1,1,1,1,0.5583728365871126,1,1,41.32193679387078,66.0,1.0
c1ccc2[nH]ncc2c1,AP,1,1,1,1,0.5583728365871126,1,1,41.541002413004406,274.0,1.0
c1ccncc1,AP,1,1,1,0,0.4531479654842905,1,1,20.589274983144826,,
NC(=O)Nc1ccsc1,AP,1,1,1,1,0.6085545083181163,0,1,40.28538525560708,,
Clc1cnc2[nH]ccc2c1,AP,1,1,1,1,0.6162749315196012,1,1,44.7940476327261,0.0,0.0
O=Cc1c[nH]c2ncccc12,AP,1,0,1,1,0.6174470277650994,1,1,30.86197986970827,,
c1cc2ccoc2cn1,AP,1,1,1,1,0.5283477685064296,0,1,27.165276263854928,,
NC(=O)c1cc2ccncc2o1,AP,1,1,0,1,0.6775304324969798,0,1,29.3648696129481,,
Nc1coc2cnccc12,AP,1,1,1,1,0.5922099720914726,0,1,12.773381794345775,,
c1cc2ccsc2cn1,AP,1,1,1,1,0.5397735725540235,0,1,27.130034693769442,,
